   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 687,              ,                ,               ,      6675,        3778,       4136,      5611,           0,       4930,              ,                ,               
 688,              ,                ,               ,      6780,        4017,       4302,      5625,           0,       4191,              ,                ,               
 689,              ,                ,               ,      7157,        4626,       5236,      5641,           0,       4467,              ,                ,               
 690,              ,                ,               ,      7164,        4550,       5195,      5656,           0,       4683,              ,                ,               
 691,              ,                ,               ,      7620,        4366,       4832,      5686,           0,       4552,              ,                ,               
 692,              ,                ,               ,      7229,        4150,       5135,      5681,           0,       4063,              ,                ,               
 693,              ,                ,               ,      7166,        3767,       5042,      5693,           0,       4388,              ,                ,               
 694,              ,                ,               ,      7032,        3666,       4342,      5673,           0,       4364,              ,                ,               
 695,              ,                ,               ,      7273,        4436,       4652,      5692,           0,       4602,              ,                ,               
 696,              ,                ,               ,      7239,        4074,       4927,      5708,           0,       3996,              ,                ,               
